_id,chTitle,id,subscriberCount,uploads,videoCount,viewCount
64121d5f8e1af74d0e3c7bb7,AyChristene,UCb9F1guxTPSBI-TIj1HtoyA,708000,UUb9F1guxTPSBI-TIj1HtoyA,3273,243203313
64121d5f8e1af74d0e3c7bb8,DrowningBoy,UCv1eL-RnI44rlQIc5QLAt0Q,165,UUv1eL-RnI44rlQIc5QLAt0Q,4,8299
64121d5f8e1af74d0e3c7bb9,JO1,UCsmXiDP8S40uBeJYxvyulmA,595000,UUsmXiDP8S40uBeJYxvyulmA,434,525560439
64121d5f8e1af74d0e3c7bba,邦楽Tube,UCBd4CiUqnpIfeidMsQaVLRw,2,UUBd4CiUqnpIfeidMsQaVLRw,1,80
64121d5f8e1af74d0e3c7bbb,CHEMISTRY Official YouTube Channel,UCKqZLmcDAWqDyyXUfYNNpVQ,87500,UUKqZLmcDAWqDyyXUfYNNpVQ,49,30389290
64121d5f8e1af74d0e3c7bbc,GReeeeN,UC5jLCyltbnart3k4iLFQvZg,794000,UU5jLCyltbnart3k4iLFQvZg,226,629454082
64121d5f8e1af74d0e3c7bbd,MECRE Official,UCISAnAHCURVxlpFdR1jLF5Q,16100,UUISAnAHCURVxlpFdR1jLF5Q,25,8430373
64121d5f8e1af74d0e3c7bbe,Fresh Bread Tv,UChEHE7kWxLW1mnjG2hSJ-Ig,8780,UUhEHE7kWxLW1mnjG2hSJ-Ig,540,3913108
64121d5f8e1af74d0e3c7bbf,Naoko Gushima 具島直子,UCGZ6kPIBR82YJeh95B_W9kQ,3630,UUGZ6kPIBR82YJeh95B_W9kQ,62,1127766
64121d5f8e1af74d0e3c7bc0,れん,UCh8ohZaTRfvQpn1ZWlvdSyg,137000,UUh8ohZaTRfvQpn1ZWlvdSyg,197,20418829
64121d5f8e1af74d0e3c7bc1,KIRINJIVEVO,UCG4RD6yEHkemqL9tVO_sQDA,31500,UUG4RD6yEHkemqL9tVO_sQDA,8,8182221
64121d5f8e1af74d0e3c7bc2,chorde1989,UCCjmHgy1s4PSED_eHY6Qp7Q,1370,UUCjmHgy1s4PSED_eHY6Qp7Q,23,325212
64121d5f8e1af74d0e3c7bc3,GenesisJames,UCZea7eizLiTHbrx9SPJkmKw,183,UUZea7eizLiTHbrx9SPJkmKw,167,19290
64121d5f8e1af74d0e3c7bc4,Polly Karera,UCAg_OXR5FngnwSGOvpEbT2g,1390,UUAg_OXR5FngnwSGOvpEbT2g,11,24457
64121d5f8e1af74d0e3c7bc5,Official GARNET CROW,UCh3bnw4so_gcDMDdulDKjTQ,44500,UUh3bnw4so_gcDMDdulDKjTQ,46,15134369
64121d5f8e1af74d0e3c7bc6,Araboss Films,UCA1UNDbanmtIhvifcS2g7PQ,535,UUA1UNDbanmtIhvifcS2g7PQ,64,104598
64121d5f8e1af74d0e3c7bc7,Sincere OfficiaL,UCTdiOLt_rE1zZTAorxJVHHg,52,UUTdiOLt_rE1zZTAorxJVHHg,23,2005
64121d5f8e1af74d0e3c7bc8,"Δndre'i Soundworld™",UCKUcZoNCg7RCvd7iaG0WMNw,122,UUKUcZoNCg7RCvd7iaG0WMNw,42,24902
64121d5f8e1af74d0e3c7bc9,InsideOutMusicTV,UC7Rl9oJzj7udPdl2oPT1SkQ,191000,UU7Rl9oJzj7udPdl2oPT1SkQ,1380,145709406
64121d5f8e1af74d0e3c7bca,Godokawa Yuu,UCHTPudZ5dvzR5slYPB06r4w,45,UUHTPudZ5dvzR5slYPB06r4w,3,12795
64121d5f8e1af74d0e3c7bcb,NIMATUNE,UChB62a22aFhMU7UflGXG54w,495,UUhB62a22aFhMU7UflGXG54w,25,188591
64121d5f8e1af74d0e3c7bcc,GReeeeNVEVO,UCAp7biVgschwGLlBTzncB2g,210000,UUAp7biVgschwGLlBTzncB2g,49,475249148
64121d5f8e1af74d0e3c7bcd,Bernsoft Group,UCvA9y3H3KY1hZrb2ArZtyPw,7490,UUvA9y3H3KY1hZrb2ArZtyPw,25,3610936
64121d5f8e1af74d0e3c7bce,DJSnakeVEVO,UCGkSXL5saM8y3VvJD_PdMFQ,6510000,UUGkSXL5saM8y3VvJD_PdMFQ,58,-1236079705
64121d5f8e1af74d0e3c7bcf,THE FIRST TAKE,UC9zY_E8mcAo_Oq772LEZq8Q,7520000,UU9zY_E8mcAo_Oq772LEZq8Q,549,-1436148899
64121d5f8e1af74d0e3c7bd0,Yoka,UCFF1rjI_JlM6wlHep8YMvRw,140,UUFF1rjI_JlM6wlHep8YMvRw,27,101764
64121d5f8e1af74d0e3c7bd1,GENERATIONS from EXILE TRIBE,UCol0rStOtRpw-9sz0R7cuWQ,9090,UUol0rStOtRpw-9sz0R7cuWQ,144,90380367
64121d5f8e1af74d0e3c7bd2,SARA-J Official,UCiOkbKW9JC0S1xWWPS37yig,780,UUiOkbKW9JC0S1xWWPS37yig,9,46907
64121d5f8e1af74d0e3c7bd3,"Rock N' LivesDX",UCUp6H8pVXvv1xPjZ2Yf9LYA,4630,UUUp6H8pVXvv1xPjZ2Yf9LYA,38,6879004
64121d5f8e1af74d0e3c7bd4,MISIA,UCzPBIyFM_VyXgG9At-1Il4Q,565000,UUzPBIyFM_VyXgG9At-1Il4Q,179,464082526
64121d5f8e1af74d0e3c7bd5,Ado,UCln9P4Qm3-EAY4aiEPmRwEA,4810000,UUln9P4Qm3-EAY4aiEPmRwEA,104,1960393808
64121d5f8e1af74d0e3c7bd6,STEREOPONYVEVO,UC7rV7HZaWyQJNm2UqHvKm_Q,272000,UU7rV7HZaWyQJNm2UqHvKm_Q,3,90531916
64121d5f8e1af74d0e3c7bd7,Pierrot 🤡,UCy8y4xvzVtd_AFsLsS4PhJQ,178,UUy8y4xvzVtd_AFsLsS4PhJQ,28,26838
64121d5f8e1af74d0e3c7bd8,ぐちり / Guchiry,UC3aIH4ewewheZobgRskmQSw,84100,UU3aIH4ewewheZobgRskmQSw,58,18343833
64121d5f8e1af74d0e3c7bd9,avex,UC1oPBUWifc0QOOY8DEKhLuQ,5940000,UU1oPBUWifc0QOOY8DEKhLuQ,15203,956198262
